train_loss,test_loss,train_predict,train_label,validation_predict,validation_label
14.58400917,14.41692162,3.928081,4.190042,4.069290638,3.811013699
13.18358135,13.08775711,3.161879,2.7238789,3.941592455,4.334214687
11.89867878,11.85576916,3.3004875,3.0809903,3.191372395,4.790878773
10.63897705,10.50340843,3.0804763,2.9905777,4.467562199,5.17906189
9.222029686,8.800276756,3.6340463,3.4461653,3.144641399,2.822020292
7.666030884,7.232600212,3.5386226,3.243343,4.226075649,3.430966854
6.249267101,5.880708218,4.030011,3.7542548,2.759815216,3.036105156
5.010036469,4.646093845,4.2167726,4.3274913,3.787242651,4.106938362
3.842202425,3.457482815,4.1544466,4.3183975,3.567102909,3.713743448
2.958786726,2.537915707,4.697274,5.1002736,3.20942831,3.000963688
2.312889338,1.882745862,3.804874,3.7885602,3.216336727,3.048320293
1.836986661,1.476432204,4.094566,4.191924,4.400284767,3.552854538
1.509228706,1.244468212,3.9511395,4.139854,4.555738926,4.844562531
1.283107758,1.070134163,4.292,4.3445187,3.165748835,2.968744993
1.101732969,1.000311017,3.618989,3.524076,4.125882149,3.695580482
0.913032532,0.921388626,3.1314826,2.9955137,3.014178991,3.149718046
0.776129842,0.817941427,4.6693377,4.82119,3.913884401,4.179281712
0.656622469,0.743903935,3.1478603,3.033182,3.426336765,4.501118183
0.551986933,0.714272738,3.8488305,4.2331777,3.250297546,3.688942671
0.467625231,0.638161719,3.4831405,3.4503553,4.807579994,4.236186504
0.401421309,0.585478187,4.0260043,4.1479115,3.717445612,3.522266388
0.363120586,0.540316939,3.841477,4.7311687,3.109801769,3.007570982
0.334410697,0.506703734,3.1279242,2.8912416,3.646595955,4.579250336
0.31456694,0.49761501,4.8793597,5.2042956,3.83712244,3.721542597
0.303899318,0.48688361,4.415839,4.5071974,5.113713741,4.882371426
0.293279618,0.467525244,3.2308981,3.446767,4.161403656,3.883847952
0.290765226,0.475702643,4.0387063,4.0581713,3.309924126,4.802584171
0.284123272,0.473662555,4.7099237,4.795978,4.059912205,5.075447083
0.278661638,0.464099288,4.441718,4.93334,4.009791851,4.957371235
0.277726918,0.467504621,4.1716247,5.030437,2.824197769,3.657959223
0.273697138,0.467582822,3.5731351,3.1976023,3.120131254,5.013494492
0.273038954,0.462686807,4.166715,4.13609,4.715827465,4.975080013
0.269511729,0.465927482,3.5110059,3.8795536,4.24355793,3.616230488
0.262918562,0.455031633,4.174615,3.567592,3.210109711,3.000789642
0.258329093,0.456873655,4.0314107,4.267236,4.046355247,4.593732357
0.258621871,0.465336889,3.2275078,2.9916666,4.510662079,5.040615082
0.255340904,0.449892402,4.6565466,4.9012165,3.145475388,2.988200188
0.251217693,0.451255441,3.218027,3.7047396,3.029471874,3.685355186
0.251263648,0.463554531,4.3092117,4.111378,4.35806942,3.980074883
0.252222538,0.446241289,3.4034925,3.4942598,4.747890472,1.597159147
0.247915968,0.456598729,3.1715868,3.45305,3.646058321,3.775152683
0.246429175,0.443168551,3.2282004,3.3574774,4.44926548,5.024091244
0.243091434,0.439979851,4.09267,4.2033925,3.852534294,4.246986389
0.241219655,0.434910804,3.6438208,4.0065327,3.979627609,3.775006056
0.237938002,0.440008342,3.5427792,3.5147562,4.660348892,4.161539078
0.235891879,0.429829717,4.079214,3.8951023,3.741049051,3.746253252
0.233216062,0.442070365,4.668542,5.1023774,3.154556751,2.996455908
0.233439982,0.424664646,4.040882,4.0138288,3.705194712,4.018014431
0.229929313,0.426156223,4.2892327,4.1473207,4.302586555,5.286264896
0.230456129,0.423677295,3.1639812,2.715389,3.233005762,3.465161562
0.225068241,0.419798583,3.9981155,4.026239,4.144401073,4.175214767
0.231243938,0.415054023,3.9072185,3.2285903,3.125142097,3.034343481
0.222658455,0.425758362,3.5056305,3.849067,3.185703516,3.364005327
0.223195061,0.401161194,4.307012,4.113906,2.881480217,2.815883636
0.216795489,0.409137726,3.1228876,3.3405635,3.288800001,3.348896503
0.217200682,0.404367685,3.6143613,2.9244215,4.140727043,4.815948009
0.217248261,0.409421235,3.5400999,3.037619,2.826089621,3.899259806
0.216380849,0.395036846,4.4152775,4.5068374,4.384264946,3.197478056
0.211999685,0.404447854,4.095728,4.3792977,3.147353172,2.716411352
0.211135432,0.401093394,4.919062,4.8748937,3.096620083,4.141463757
0.210128516,0.395276576,3.9325345,3.9055686,3.319855213,3.124526024
0.20994693,0.397121727,5.025442,5.318315,4.75856638,5.041627884
0.209301472,0.399389982,3.709038,3.85555,3.195438147,3.025708914
0.207726076,0.390716851,3.3317533,3.6528738,3.246856213,3.192521572
0.204028144,0.399470031,3.170349,3.0815454,4.273603439,4.099111557
0.201223195,0.405098468,4.2833095,3.6199875,4.771746635,4.295011997
0.204882205,0.385017544,4.3312926,4.855905,4.629757404,3.910479546
0.202189595,0.392355114,5.2242303,5.130619,3.017548084,2.827356339
0.200645626,0.38672924,5.2216825,5.433561,3.562250853,3.728902817
0.199120373,0.381320119,4.112538,3.964923,3.761172771,3.994254827
0.200629532,0.403258681,3.4726562,3.7205272,3.114900112,3.403036594
0.201854318,0.39058578,3.1381457,2.9534605,3.52889061,3.851663589
0.19989574,0.41249916,3.164453,3.0486557,4.268745899,4.531450748
0.198575214,0.369321376,3.3232286,3.3939922,3.540492535,4.251428604
0.198535845,0.428749591,4.9564333,4.984536,3.217844486,3.503654242
0.215344429,0.364913106,4.647453,4.1790223,3.821470022,3.709512472
0.195896,0.424857736,4.1202803,3.3834057,3.833580971,4.182292461
0.199497283,0.399939269,3.1180382,3.01104,2.959940434,2.977553129
0.190417901,0.388877153,3.0822577,2.6703227,4.167500019,3.990301371
0.189365312,0.403559446,3.2922926,3.355659,3.959311485,4.226387024
0.187294573,0.396706223,4.2723913,4.643267,3.384502411,5.145001411
0.185969025,0.399763107,4.07163,3.7032294,3.183345556,3.020546675
0.193139404,0.405845225,4.125664,3.6006844,3.572757959,4.492175102
0.184423596,0.400121421,4.566148,4.089525,3.110114098,3.261847734
0.186799407,0.390280217,4.5769615,4.5420246,3.541191816,3.317448139
0.185775742,0.399452507,2.8816583,2.9162786,4.405384541,5.074510098
0.180220038,0.410363555,4.000614,3.1116176,3.113090515,2.700737476
0.181902975,0.390514463,3.659274,3.4394307,4.518484592,3.012669563
0.184734806,0.412487268,3.8411245,4.0975633,3.101476431,3.04255414
0.189005569,0.420701742,3.13374,3.0645561,3.308132172,3.457041502
0.185169652,0.393128395,3.2095537,3.025455,4.077372551,3.622271538
0.181857631,0.3862786,3.18283,3.1726546,3.124887466,3.076354265
0.182515845,0.427681655,3.9405756,3.9959993,4.895707607,5.392085552
0.195945561,0.391753316,4.1204524,3.911528,3.955127239,4.929546833
0.184899375,0.392580807,4.3826594,4.463822,3.207188129,3.129248142
0.182478502,0.405366063,3.1872137,3.0430067,4.315332413,4.988498688
0.179519609,0.408020735,3.0575352,3.197181,3.592655659,3.334912777
0.174445823,0.402062058,3.109377,2.891202,4.031815529,4.315405846
0.173130929,0.399667829,4.431647,4.819014,4.356615067,4.734175205
0.171970323,0.391349643,3.731165,3.4304798,3.619871616,4.401990891
0.177856535,0.410759509,3.1181402,3.1288002,,
0.174330845,0.414775401,4.6842217,3.9549274,,
0.193076998,0.414250553,2.9825022,3.2125669,,
0.185669571,0.385921091,3.6455207,3.3800704,,
0.180422381,0.393861771,3.635768,3.944914,,
0.178134486,0.425334245,3.307139,3.323921,,
0.180575669,0.386668384,3.1164641,3.1797693,,
0.186588809,0.392986864,3.1515322,2.766092,,
0.187290415,0.393510103,5.157042,5.144057,,
0.171426982,0.382105559,4.4441643,5.188257,,
0.167736143,0.415151745,3.8958502,4.1097984,,
0.169519559,0.381440431,3.1970873,3.0948133,,
0.172345012,0.397807658,3.1577492,2.8859131,,
0.189895645,0.409738719,3.0526118,2.6331356,,
0.172099054,0.416536301,3.1360083,3.1515975,,
0.178604424,0.408972353,4.1668935,3.7329187,,
0.169707894,0.386617661,2.9616098,3.2993593,,
0.167817891,0.431573272,3.1631222,3.0953329,,
0.173627228,0.424252689,4.080119,3.9410782,,
0.16650781,0.410543352,3.8684585,4.0895805,,
0.163893789,0.415747911,3.9001436,3.9076278,,
0.161014751,0.416625381,3.168486,3.0625982,,
0.167038694,0.413750917,3.2185252,3.3034976,,
0.159825027,0.40651843,3.0337057,2.6578648,,
0.16469036,0.410924107,3.9205918,4.3982863,,
0.161262587,0.453919291,3.186923,3.083287,,
0.173046723,0.411216497,3.1150928,3.6539047,,
0.164819986,0.418953449,4.500616,3.504209,,
0.177155778,0.435897022,3.1767397,3.1703496,,
0.177205265,0.44899407,3.7337894,4.1518536,,
0.184409797,0.420470506,3.9998493,3.7682333,,
0.181531698,0.376300424,4.3682895,4.274917,,
0.176590919,0.446854621,2.8759427,3.1534739,,
0.15693973,0.381114393,3.9109402,3.871739,,
0.15603666,0.4204503,4.46801,4.803821,,
0.161282271,0.416975737,4.4257894,4.845965,,
0.162120819,0.426781893,5.0240245,4.781684,,
0.15433374,0.395110279,5.2780824,5.1315165,,
0.169078007,0.424640059,3.6923192,3.449058,,
0.155871853,0.372613341,3.1952565,2.9938204,,
0.159256756,0.438318551,3.5984783,3.483014,,
0.150828615,0.417924166,3.4244347,3.1798353,,
0.155008048,0.423050165,3.035305,3.6439736,,
0.157851174,0.40965566,3.1544852,3.4313607,,
0.157652065,0.461516023,2.8717973,3.075158,,
0.154115662,0.411942899,3.5455494,3.45353,,
0.150876254,0.446901917,2.9104855,3.0235665,,
0.15934667,0.423134238,2.8942466,2.8751159,,
0.151229829,0.422269374,3.4781265,3.6434858,,
0.152647167,0.43745923,3.750556,4.56234,,
0.165499613,0.385779113,3.5541253,3.4776187,,
0.157090604,0.451926112,5.0021877,5.183045,,
0.155115902,0.41263926,3.5754337,3.1623962,,
0.162240386,0.44743365,4.7203417,4.6529727,,
0.158165231,0.437445939,4.5972233,5.004522,,
0.151650086,0.40707925,3.2057686,3.3234882,,
0.154718891,0.440968484,3.0641677,3.4025025,,
0.152896255,0.424798369,3.2958405,3.2135699,,
0.154025957,0.408640355,3.7634482,3.2144692,,
